9.983330 	10.933330
Lagos nigeria
Kano nigeria
Ibadan nigeria
Kaduna nigeria
Port Harcourt nigeria
Benin City nigeria
Maiduguri nigeria
Zaria nigeria
Aba nigeria
Jos nigeria
Ilorin nigeria
Oyo nigeria
Enugu nigeria
Abeokuta nigeria
Abuja nigeria
Sokoto nigeria
Onitsha nigeria
Warri nigeria
Ebute Ikorodu nigeria
Okene nigeria
Calabar nigeria
Uyo nigeria
Katsina nigeria
Ado-Ekiti nigeria
Akure nigeria
Bauchi nigeria
Ikeja nigeria
Makurdi nigeria
Minna nigeria
Efon-Alaaye nigeria
Ilesa nigeria
Owo nigeria
Umuahia nigeria
Ondo nigeria
Ikot Ekpene nigeria
Iwo nigeria
Gombe nigeria
Jimeta nigeria
Atani nigeria
Gusau nigeria
Mubi nigeria
Ikire nigeria
Owerri nigeria
Shagamu nigeria
Ijebu-Ode nigeria
Ugep nigeria
Nnewi nigeria
Ise-Ekiti nigeria
Ila Orangun nigeria
Saki nigeria
Bida nigeria
Awka nigeria
Ijero-Ekiti nigeria
Inisa nigeria
Suleja nigeria
Sapele nigeria
Osogbo nigeria
Kisi nigeria
Gbongan nigeria
Ejigbo nigeria
Funtua nigeria
Igboho nigeria
Buguma nigeria
Ikirun nigeria
Abakaliki nigeria
Okrika nigeria
Amaigbo nigeria
Lafia nigeria
Gashua nigeria
Modakeke nigeria
Bama nigeria
Ilobu nigeria
Jalingo nigeria
Okigwe nigeria
Offa nigeria
Esuk Oron nigeria
Nsukka nigeria
Nguru nigeria
Hadejia nigeria
Ijebu-Igbo nigeria
Uromi nigeria
Birnin Kebbi nigeria
Azare nigeria
Nkpor nigeria
Ikere-Ekiti nigeria
Lafiagi nigeria
Kontagora nigeria
Kuje nigeria
Yola nigeria
Biu nigeria
Olupona nigeria
Lere nigeria
Wukari nigeria
Igbo-Ora nigeria
Emure-Ekiti nigeria
Isieke nigeria
Ifo nigeria
Igede-Ekiti nigeria
6.37 8.03
Idanre nigeria
Potiskum nigeria
Keffi nigeria
Makoko nigeria
Epe nigeria
Gamboru nigeria
Ogaminana nigeria
Ihiala nigeria
Ipoti nigeria
Lalupon nigeria
Ughelli nigeria
Bende nigeria
Oke Mesi nigeria
Kafanchan nigeria
Ikom nigeria
Agulu nigeria
Daura nigeria
9.45 12.03
9.61 8.39
Ode nigeria
Igbo-Ukwu nigeria
Aramoko-Ekiti nigeria
Igbara-Odo nigeria
Ozubulu nigeria
Aku nigeria
Oyan nigeria
12.31 4.38
Asaba nigeria
5.61 7.81
Afikpo nigeria
Apomu nigeria
Fiditi nigeria
7.55 3.4333
Eha Amufu nigeria
Malumfashi nigeria
Kaura Namoda nigeria
Enugu-Ukwu nigeria
Idah nigeria
Obonoma nigeria
Agbor nigeria
6.44 8.08
Uga nigeria
Nkwerre nigeria
Auchi nigeria
Lokoja nigeria
Ekpoma nigeria
7.68 4.81
Kabba nigeria
Ilaro nigeria
Damaturu nigeria
Argungu nigeria
Gumel nigeria
12.53 11.55
Otan Ayegbaju nigeria
Ogoja nigeria
Katsina-Ala nigeria
Itu nigeria
Kumo nigeria
Oke Ila nigeria
Pankshin nigeria
Nasarawa nigeria
Kachia nigeria
Dikwa nigeria
Moriki nigeria
Patigi nigeria
Wamba nigeria
Baro nigeria
Okuta nigeria
Birnin Kudu nigeria
Badagry nigeria
Ogwashi-Uku nigeria
Eket nigeria
Kamba nigeria
Daura nigeria
Takum nigeria
Igbeti nigeria
Zungeru nigeria
Zuru nigeria
Yenagoa nigeria
Tegina nigeria
Awgu nigeria
Wudil nigeria
Nafada nigeria
Ibi nigeria
Sofo-Birnin-Gwari nigeria
Dutsen Wai nigeria
Kaiama nigeria
Ubiaja nigeria
Otukpa nigeria
Oguta nigeria
Damboa nigeria
Jebba nigeria
Garko nigeria
Mokwa nigeria
Gaya nigeria
Tambuwal nigeria
Elele nigeria
Monguno nigeria
Kwale nigeria
Gembu nigeria
Obudu nigeria
Gombi nigeria
Magumeri nigeria
6.59 7.27
Kari nigeria
Darazo nigeria
Rano nigeria
Kiyawa nigeria
Deba nigeria
Igbor nigeria
Babana nigeria
Egbe nigeria
Gwadabawa nigeria
Beli nigeria
Illela nigeria
Dutse nigeria
Dukku nigeria
Bode Saadu nigeria
Rijau nigeria
Lapai nigeria
Gwarzo nigeria
Kukawa nigeria
Akwanga nigeria
9.51 11.36
Iperu nigeria
Gwaram nigeria
Soba nigeria
Marte nigeria
Ibeto nigeria
Bukuru nigeria
Anchau nigeria
Ado Odo nigeria
Ganye nigeria
Gwoza nigeria
Ajaokuta nigeria
8.39 8.35
8.16 5.5
Udi nigeria
Icheu nigeria
Igarra nigeria
Ankpa nigeria
Lere nigeria
Omu-Aran nigeria
Ringim nigeria
Yashikera nigeria
Jibia nigeria
Kajuru nigeria
Gassol nigeria
Shani nigeria
Ugbokpo nigeria
Dapchi nigeria
Ngala nigeria
Misau nigeria
Gandi nigeria
Ago Are nigeria
Ore nigeria
Uruobo-Okija nigeria
Damasak nigeria
Gamawa nigeria
Sauri nigeria
Konduga nigeria
Dindima nigeria
Ikang nigeria
Yelwa nigeria
Langtang nigeria
Kazaure nigeria
Wurno nigeria
Kujama nigeria
Okeho nigeria
Madagali nigeria
Obubra nigeria
Ahoada nigeria
Boju nigeria
Agenebode nigeria
Ajasse Ipo nigeria
Runka nigeria
Lau nigeria
Kafin Hausa nigeria
Bakori nigeria
Dutsin-Ma nigeria
Abak nigeria
Dakingari nigeria
Bokkos nigeria
Zango nigeria
Dange nigeria
Kaltungo nigeria
Amper nigeria
Miringa nigeria
Zalanga nigeria
Vom nigeria
5.83 6.15
9.10 7.21
Toungo nigeria
Agaie nigeria
Machina nigeria
Mutum Biyu nigeria
Kangiwa nigeria
Bori nigeria
Burumburum nigeria
Goniri nigeria
Bara nigeria
Uba nigeria
Anka nigeria
Omoku nigeria
Kafarati nigeria
10.75 4.78
Gagarawa nigeria
Gujba nigeria
Opi nigeria
Mallammaduri nigeria
Dekina nigeria
Bebeji nigeria
Arochukwu nigeria
Takai nigeria
Panyam nigeria
Koton-Karfe nigeria
Katagum nigeria
Zaki Biam nigeria
Goronyo nigeria
Etinan nigeria
Aliade nigeria
Wawa nigeria
Gabarin nigeria
Gwandu nigeria
Madara nigeria
Maiyama nigeria
Wagini nigeria
Buga nigeria
Benisheikh nigeria
Ete nigeria
7.99 7.58
Danja nigeria
Kankara nigeria
Amagunze nigeria
Alapa nigeria
5.3 6.05
Kura nigeria
Tsafe nigeria
Orlu nigeria
Birniwa nigeria
Shinkafi nigeria
Ejirin nigeria
Holma nigeria
Wuyo nigeria
Ifaki nigeria
Ogurugu nigeria
Kwatarkwashi nigeria
Mahuta nigeria
Dambatta nigeria
Baissa nigeria
Musawa nigeria
Mberubu nigeria
Ruma nigeria
Igabi nigeria
Rabah nigeria
Imeko nigeria
Bokani nigeria
Agbabu nigeria
Auna nigeria
Ochobo nigeria
Orodo nigeria
Owode nigeria
Kibiya nigeria
Hunkuyi nigeria
Bomadi nigeria
11.28 5.93
Umunede nigeria
Badeggi nigeria
11.36 10.67
Isara nigeria
Adoru nigeria
Kwolla nigeria
Wasagu nigeria
Ngurore nigeria
Samamiya nigeria
Duku nigeria
Suya nigeria
Siluko nigeria
11.53 8.15
Mashi nigeria
Hinna nigeria
Iho nigeria
Yandev nigeria
Konkwesso nigeria
Ilare nigeria
Ifon nigeria
Dan Sadau nigeria
Kuta nigeria
Mando nigeria