Lagos nigeria,6.52438,3.37921
Kano nigeria,12.00218,8.59196
Ibadan nigeria,7.37754,3.94704
Kaduna nigeria,10.51046,7.41651
Port Harcourt nigeria,4.81555,7.04984
Benin City nigeria,6.33499,5.60375
Maiduguri nigeria,11.8311,13.15097
Zaria nigeria,11.08554,7.71995
Aba nigeria,5.12159,7.37327
Jos nigeria,9.89653,8.85833
Ilorin nigeria,8.47988,4.54181
Oyo nigeria,7.84296,3.93684
Enugu nigeria,6.45837,7.54639
Abeokuta nigeria,7.1475,3.36194
Abuja nigeria 9.07648,7.39857
Sokoto nigeria,13.00587,5.24755
Onitsha nigeria,6.13294,6.7924
Warri nigeria,5.5544,5.7932
Ebute Ikorodu nigeria,6.61996,3.50339
Okene nigeria,7.56142,6.2429
Calabar nigeria,4.97572,8.3417
Uyo nigeria,5.03774,7.91279
Katsina nigeria,12.98156,7.62227
Ado-Ekiti nigeria,7.61243,5.23711
Akure nigeria,7.25713,5.20579
Bauchi nigeria,10.30096,9.82365
Ikeja nigeria,6.60184,3.35149
Makurdi nigeria,7.73215,8.53914
Minna nigeria,9.58355,6.54632
Efon-Alaaye nigeria,7.65398,4.91952
Ilesa nigeria,7.63955,4.7588
Owo nigeria,7.19885,5.59324
Umuahia nigeria,5.52495,7.49224
Ondo nigeria,7.10001,4.84169
Ikot Ekpene nigeria,5.17445,7.71452
Iwo nigeria,7.62921,4.18722
Gombe nigeria,10.27914,11.17306
Jimeta nigeria,9.24855,12.44952
Atani nigeria,6.01306,6.74672
Gusau nigeria,12.16285,6.6745
Mubi nigeria,10.26038,13.26058
Ikire nigeria,7.36997,4.18722
Owerri nigeria,5.48906,7.01759
Shagamu nigeria,6.8322,3.63191
Ijebu-Ode nigeria,6.82998,3.91646
Ugep nigeria,5.80663,8.07653
Nnewi nigeria,6.01052,6.91035
Ise-Ekiti nigeria,7.45626,5.43323
Ila Orangun nigeria,8.01207,4.89875
Saki nigeria,8.67256,3.39433
Bida nigeria,9.07968,6.0097
Awka nigeria,6.222,7.08212
Ijero-Ekiti nigeria,7.81196,5.06768
Inisa nigeria,7.97414,4.65278
Suleja nigeria,9.21786,7.1898
Sapele nigeria,5.87508,5.69314
Osogbo nigeria,7.78267,4.54181
Kisi nigeria,9.08667,3.85026
Gbongan nigeria,7.47629,4.35137
Ejigbo nigeria,7.89889,4.32097
Funtua nigeria,11.51848,7.31293
Igboho nigeria,8.83407,3.75875
Buguma nigeria,4.74029,6.8619
Ikirun nigeria,7.92627,4.66629
Abakaliki nigeria,6.32306,8.11201
Okrika nigeria,4.74062,7.08481
Amaigbo nigeria,5.71792,7.08212
Lafia nigeria,8.50601,8.52267
Gashua nigeria,12.8765,11.03158
Modakeke nigeria,7.4772,4.54386
Bama nigeria,11.52183,13.68838
Ilobu nigeria,7.84556,4.49285
Jalingo nigeria,8.89285,11.37715
Okigwe nigeria,5.81928,7.34085
Offa nigeria,8.13934,4.71741
Esuk Oron nigeria,4.94045,8.31734
Nsukka nigeria,6.84294,7.37327
Nguru nigeria,12.87751,10.45652
Hadejia nigeria,12.4506,10.04041
Ijebu-Igbo nigeria,6.97924,3.99805
Uromi nigeria,6.71397,6.32792
Birnin Kebbi nigeria,12.43176,4.19562
Azare nigeria,11.67264,10.20395
Nkpor nigeria,6.14624,6.82974
Ikere-Ekiti nigeria,7.49913,5.23189
Lafiagi nigeria,8.85253,5.40443
Kontagora nigeria,10.40715,5.46992
Kuje nigeria,8.87635,7.24371
Yola nigeria,9.2035,12.49539
Biu nigeria,10.61168,12.19186
Olupona nigeria,42.377,-71.11666
Lere nigeria,10.41457,8.5721
Wukari nigeria,7.87733,9.77902
Igbo-Ora nigeria,7.43682,3.28855
Emure-Ekiti nigeria,7.43167,5.46205
Isieke nigeria,6.38503,8.02743
Ifo nigeria,6.81924,3.19303
Igede-Ekiti nigeria,7.67052,5.12497
6.37 8.03,6.37071,8.02887
Idanre nigeria,7.09136,5.14842
Potiskum nigeria,11.70724,11.08249
Keffi nigeria,8.84712,7.8776
Makoko nigeria,6.49903,3.38803
Epe nigeria,6.5946,3.97764
Gamboru nigeria,12.37304,14.20762
Ogaminana nigeria,7.59005,6.22034
Ihiala nigeria,5.85164,6.85118
Ipoti nigeria,7.87153,5.07288
Lalupon nigeria,7.46544,4.0721
Ughelli nigeria,5.50019,5.99383
Bende nigeria,5.55704,7.6304
Oke Mesi nigeria,7.83536,4.92211
Kafanchan nigeria,9.5849,8.29242
Ikom nigeria,5.96165,8.72059
Agulu nigeria,6.1172,7.03909
Daura nigeria,13.03149,8.32253
9.45 12.03,9.45387,12.02807
9.61 8.39,9.61213,8.39029
Ode nigeria,6.82998,3.91646
Igbo-Ukwu nigeria,6.01229,7.01759
Aramoko-Ekiti nigeria,7.70664,5.04426
Igbara-Odo nigeria,7.5038,5.06247
Ozubulu nigeria,5.95925,6.8485
Aku nigeria,6.70013,7.32465
Oyan nigeria,8.04627,4.76398
Asaba nigeria,6.20593,6.69589
Afikpo nigeria,5.88946,7.95384
Apomu nigeria,7.34841,4.18722
Fiditi nigeria,7.71024,3.91901
Eha Amufu nigeria,6.66149,7.76884
Malumfashi nigeria,11.79287,7.61684
Kaura Namoda nigeria,12.59519,6.58635
Enugu-Ukwu nigeria,6.17298,7.00974
Idah nigeria,7.11381,6.74405
Obonoma nigeria,4.68455,6.78152
Agbor nigeria,6.25414,6.20574
6.44 8.08,6.44353,8.08524
Uga nigeria,5.93535,7.07943
Nkwerre nigeria,5.76479,7.09826
Auchi nigeria,7.06686,6.27477
Lokoja nigeria,7.80232,6.73334
Ekpoma nigeria,6.74914,6.07321
Kabba nigeria,7.82311,6.07321
Ilaro nigeria,6.89536,3.01257
Damaturu nigeria,11.747,11.96619
Argungu nigeria,12.74947,4.53666
Gumel nigeria,12.62261,9.38396
Otan Ayegbaju nigeria,7.94545,4.78728
Ogoja nigeria,6.65484,8.79769
Katsina-Ala nigeria,7.16579,9.2841
Itu nigeria,5.15509,8.0247
Kumo nigeria,10.04208,11.21814
Oke Ila nigeria,7.95,4.98333
Pankshin nigeria,9.32786,9.43116
Nasarawa nigeria,8.57052,8.30884
Kachia nigeria,9.87344,7.9552
Dikwa nigeria,12.04198,13.9173
Moriki nigeria,12.87768,6.49031
Patigi nigeria,8.72112,5.75632
Wamba nigeria,8.94321,8.60233
Baro nigeria,8.61321,6.4198
Okuta nigeria,9.21918,3.29861
Birnin Kudu nigeria,11.45309,9.4756
Badagry nigeria,6.43158,2.88764
Ogwashi-Uku nigeria,6.18161,6.53031
Eket nigeria,4.64674,7.94294
Kamba nigeria,11.85145,3.65472
Daura nigeria,13.03149,8.32253
Takum nigeria,7.25769,9.97445
Igbeti nigeria,8.75315,4.13602
Zungeru nigeria,9.80975,6.15535
Zuru nigeria,11.43845,5.23189
Yenagoa nigeria,4.92116,6.27477
Tegina nigeria,10.0805,6.17524
Awgu nigeria,6.064,7.476
Wudil nigeria,11.79424,8.83903
Nafada nigeria,11.08769,11.20705
Ibi nigeria,8.31972,9.76787
Sofo-Birnin-Gwari nigeria,11.01088,6.79841
Dutsen Wai nigeria,10.85707,8.20216
Kaiama nigeria,9.60621,3.94194
Ubiaja nigeria,6.64933,6.39177
Otukpa nigeria,7.13817,7.66973
Oguta nigeria,5.70553,6.80831
Damboa nigeria,11.15608,12.75661
Jebba nigeria,9.11925,4.82614
Garko nigeria,11.54846,8.85833
Mokwa nigeria,9.23942,5.31025
Gaya nigeria,11.86258,8.99908
Tambuwal nigeria,12.34917,4.85206
Elele nigeria,5.10184,6.81902
Monguno nigeria,12.67292,13.61601
Kwale nigeria,5.70983,6.43436
Gembu nigeria,6.72057,11.25805
Obudu nigeria,6.66935,9.16222
Gombi nigeria,10.15589,12.73685
Magumeri nigeria,12.11511,12.82563
Kari nigeria,11.11117,10.44106
Darazo nigeria,10.9965,10.40875
Rano nigeria,11.56101,8.58172
Kiyawa nigeria,11.78089,9.59795
Deba nigeria,10.20501,11.39985
Igbor nigeria,6.01229,7.01759
Babana nigeria,10.43663,3.8172
Egbe nigeria,8.21927,5.50662
Gwadabawa nigeria,13.35393,5.2345
Beli nigeria,7.8533,10.96375
Illela nigeria,13.71748,5.35209
Dutse nigeria,11.70235,9.33402
Dukku nigeria,10.82296,10.77329
Bode Saadu nigeria,9.04911,4.70706
Rijau nigeria,11.09911,5.25277
Lapai nigeria,8.68992,6.66381
Gwarzo nigeria,11.91713,7.93477
Kukawa nigeria,12.92297,13.56394
Akwanga nigeria,8.90666,8.40746
Iperu nigeria,6.91493,3.66486
Gwaram nigeria,11.27704,9.88227
Soba nigeria,10.98409,8.06016
Marte nigeria,12.36406,13.82774
Ibeto nigeria,10.48532,5.14581
Bukuru nigeria,9.76526,8.85971
Anchau nigeria,10.92329,8.3417
Ado Odo nigeria,6.61172,3.05762
Ganye nigeria,8.43666,12.05079
Gwoza nigeria,11.08972,13.68838
Ajaokuta nigeria,7.53938,6.64243
Udi nigeria,6.32037,7.4084
Icheu nigeria,7.70653,6.77148
Igarra nigeria,7.27547,6.10765
Ankpa nigeria,7.40532,7.62227
Lere nigeria,10.41457,8.5721
Omu-Aran nigeria,8.14023,5.09631
Ringim nigeria,12.15399,9.16222
Yashikera nigeria,9.76636,3.39559
Jibia nigeria,13.09309,7.22484
Kajuru nigeria,10.32429,7.6833
Gassol nigeria,8.42984,10.52961
Shani nigeria,10.22271,12.05184
Ugbokpo nigeria,7.67935,7.9266
Dapchi nigeria,12.49593,11.50065
Ngala nigeria,12.34207,14.18583
Misau nigeria,11.31399,10.46523
Gandi nigeria,12.96534,5.74183
Ago Are nigeria,8.50479,3.42302
Ore nigeria,6.75185,4.878
Uruobo-Okija nigeria,5.9,6.83333
Damasak nigeria,13.09961,12.51133
Gamawa nigeria,12.13592,10.53805
Sauri nigeria,11.7323,6.7929
Konduga nigeria,11.65492,13.41966
Dindima nigeria,10.23766,10.14722
Ikang nigeria,4.79224,8.52953
Yelwa nigeria,10.83702,4.74328
Langtang nigeria,9.14824,9.79855
Kazaure nigeria,12.65329,8.41208
Wurno nigeria,13.28387,5.42014
Kujama nigeria,10.46068,7.63311
Okeho nigeria,8.03566,3.35149
Madagali nigeria,10.89093,13.62759
Obubra nigeria,6.08569,8.32801
Ahoada nigeria,5.08282,6.65847
Boju nigeria,7.38281,7.90735
Agenebode nigeria,7.1066,6.68787
Ajasse Ipo nigeria,8.24587,4.81189
Runka nigeria,12.45257,7.30711
Lau nigeria,9.20293,11.29229
Kafin Hausa nigeria,12.18979,9.92416
Bakori nigeria,11.5577,7.42462
Dutsin-Ma nigeria,12.45448,7.49765
Abak nigeria,5.00329,7.77427
Dakingari nigeria,11.6498,4.06444
Bokkos nigeria,9.16815,8.92453
Zango nigeria,12.8964,8.52816
Dange nigeria,12.85525,5.32071
Kaltungo nigeria,9.84227,11.3885
Amper nigeria,9.35481,9.70237
Miringa nigeria,10.71876,12.1404
Zalanga nigeria,10.61663,10.17663
Vom nigeria,9.7376,8.80872
Toungo nigeria,8.11766,12.04413
Agaie nigeria,9.00851,6.31729
Machina nigeria,13.1124,10.12552
Mutum Biyu nigeria,8.64504,10.7718
Kangiwa nigeria,12.53784,3.77399
Bori nigeria,4.6735,7.36786
Burumburum nigeria,8.63333,8.68333
Goniri nigeria,11.48403,12.30631
Bara nigeria,10.37444,10.72951
Uba nigeria,7.5144,4.52324
Anka nigeria,11.91707,5.98326
Omoku nigeria,5.34191,6.65579
Kafarati nigeria,10.38402,11.09664
Gagarawa nigeria,12.4083,9.52911
Gujba nigeria,11.49981,11.93365
Opi nigeria,6.77027,7.43002
Mallammaduri nigeria,12.55098,10.02758
Dekina nigeria,7.59479,7.22214
Bebeji nigeria,11.66478,8.26232
Arochukwu nigeria,5.39489,7.90482
Takai nigeria,11.57162,9.10965
Panyam nigeria,9.40914,9.21067
Koton-Karfe nigeria,8.10457,6.79759
Katagum nigeria,12.28974,10.3526
Zaki Biam nigeria,7.50057,9.6063
Goronyo nigeria,13.43791,5.67867
Etinan nigeria,4.84272,7.85584
Aliade nigeria,7.29617,8.4815
Wawa nigeria,9.90378,4.40535
Gabarin nigeria,11.14543,10.45933
Gwandu nigeria,12.49857,4.64245
Madara nigeria,11.77753,10.44949
Maiyama nigeria,11.8103,4.35651
Wagini nigeria,12.69723,7.16825
Buga nigeria,8.49593,7.3476
Benisheikh nigeria,11.80415,12.51833
Ete nigeria,7.06161,7.44973
7.99 7.58,7.99829,7.58241
Danja nigeria,11.37937,7.55993
Kankara nigeria,11.93132,7.4138
Amagunze nigeria,6.3248,7.64939
Alapa nigeria,8.63102,4.38093
5.3 6.05,5.27338,6.08476
Kura nigeria,11.77014,8.42391
Tsafe nigeria,11.95528,6.91823
Orlu nigeria,5.78123,7.03909
Birniwa nigeria,12.80145,10.22637
Shinkafi nigeria,13.07205,6.50631
Ejirin nigeria,6.61391,3.89353
Holma nigeria,9.90047,13.05442
Wuyo nigeria,10.37418,11.69541
Ifaki nigeria,7.78005,5.24233
Ogurugu nigeria,6.78669,6.9491
Kwatarkwashi nigeria,12.13372,6.82553
Mahuta nigeria,11.58504,4.94548
Dambatta nigeria,12.43822,8.61607
Baissa nigeria,7.22954,10.6281
Musawa nigeria,12.12991,7.67245
Mberubu nigeria,6.33245,7.60564
Ruma nigeria,12.86667,7.23333
Igabi nigeria,10.79874,7.52472
Rabah nigeria,13.12255,5.50531
Imeko nigeria,7.44774,2.83796
Bokani nigeria,9.39633,5.16406
Agbabu nigeria,6.5798,4.82938
Auna nigeria,10.18679,4.72258
Ochobo nigeria,7.18098,7.97972
Orodo nigeria,5.61659,7.0364
Owode nigeria,6.94826,3.50793
Kibiya nigeria,11.52919,8.65731
Hunkuyi nigeria,11.26163,7.64939
Bomadi nigeria,5.16256,5.92512
Umunede nigeria,6.25823,6.30666
Badeggi nigeria,9.05683,6.14342
Isara nigeria,6.98719,3.67754
Adoru nigeria,6.97936,7.16286
Kwolla nigeria,8.94949,9.24807
Wasagu nigeria,11.3799,5.6458
Ngurore nigeria,9.28942,12.24167
Samamiya nigeria,11.34607,9.65919
Duku nigeria,11.2,4.88333
Suya nigeria,6.45255,3.43565
Siluko nigeria,6.53463,5.16015
Mashi nigeria,13.09589,8.00289
Hinna nigeria,10.30067,11.50208
Iho nigeria,5.56751,7.10499
Yandev nigeria,7.36017,9.03776
Konkwesso nigeria,10.84766,4.09638
Ilare nigeria,7.79068,4.80023
Ifon nigeria,6.92349,5.77739
Dan Sadau nigeria,11.29754,6.49565
Kuta nigeria,7.64975,4.30002
Mando nigeria,10.75588,6.60704